                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.63878,                0.48039,                 1.0374,                  0.408,                0.00563,                0.06337,                0.06013,                    nan,                    nan,                    nan,                0.00571,                0.00571,                0.00571
                    132,                 0.6388,                0.47197,                 1.0362,                 0.4946,                0.00563,                0.08729,                0.08313,                    nan,                    nan,                    nan,               0.005677,               0.005677,               0.005677
                    133,                0.64076,                 0.4799,                 1.0416,                0.57816,                0.00563,                0.08817,                0.08577,                    nan,                    nan,                    nan,               0.005644,               0.005644,               0.005644
                    134,                0.63736,                0.47846,                  1.034,                 0.3299,                0.00563,                0.10509,                    0.1,                    nan,                    nan,                    nan,               0.005611,               0.005611,               0.005611
                    135,                0.64376,                0.47965,                 1.0386,                0.49633,                0.00563,                0.09012,                0.08609,                    nan,                    nan,                    nan,               0.005578,               0.005578,               0.005578
                    136,                0.63652,                0.47448,                 1.0344,                0.49757,                0.00563,                0.10675,                0.09674,                    nan,                    nan,                    nan,               0.005545,               0.005545,               0.005545
                    137,                0.62727,                 0.4656,                 1.0218,                0.33014,                0.00563,                0.10204,                0.09263,                    nan,                    nan,                    nan,               0.005512,               0.005512,               0.005512
                    138,                0.63662,                 0.4748,                 1.0287,                0.41345,                0.00563,                 0.1144,                0.10432,                    nan,                    nan,                    nan,               0.005479,               0.005479,               0.005479
                    139,                0.63059,                0.46989,                 1.0241,                0.41283,                0.00563,                0.10198,                0.09225,                    nan,                    nan,                    nan,               0.005446,               0.005446,               0.005446
                    140,                0.63208,                0.46387,                 1.0269,                0.32954,                0.00563,                0.09886,                0.09357,                    nan,                    nan,                    nan,               0.005413,               0.005413,               0.005413
                    141,                0.62088,                0.46215,                 1.0287,                0.32695,                0.00563,                0.08891,                0.07906,                    nan,                    nan,                    nan,                0.00538,                0.00538,                0.00538
                    142,                0.62351,                0.45331,                 1.0277,                0.41199,                0.00563,                0.11782,                0.10653,                    nan,                    nan,                    nan,               0.005347,               0.005347,               0.005347
